[2018/10/23 14:56:17 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 47, buff: 04FC1C1D--from--30099
[2018/10/23 17:19:47 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 63, buff: 04DFF05D--from--30088
[2018/10/23 17:19:50 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 47, buff: 04D041BD--from--30089
[2018/10/23 17:19:52 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 62, buff: 05418F95--from--30094
[2018/10/23 17:19:54 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 62, buff: 0527CF55--from--30079
[2018/10/23 17:19:57 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 47, buff: 05534F2D--from--30104
[2018/10/23 17:20:00 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 46, buff: 051D2E35--from--30092
[2018/10/23 17:20:01 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 47, buff: 04FC1C1D--from--30099
[2018/10/23 17:20:05 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 47, buff: 04B6BE25--from--30083
[2018/10/23 17:20:07 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 47, buff: 04D4EF95--from--30098
[2018/10/23 17:28:29 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 47, buff: 05354F2D--from--30103
[2018/10/23 17:28:29 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 47, buff: 04BE7065--from--30082
[2018/10/23 17:28:30 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 47, buff: 05494F2D--from--30102
[2018/10/23 17:28:33 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 46, buff: 04FE31DD--from--30096
[2018/10/23 17:28:33 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 62, buff: 052C8325--from--30077
[2018/10/23 17:28:35 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 47, buff: 05287FE5--from--30090
[2018/10/23 17:28:35 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 47, buff: 04C22E95--from--30101
[2018/10/23 17:28:35 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 62, buff: 04AB7065--from--30081
[2018/10/23 17:28:39 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 63, buff: 04D667F5--from--30085
[2018/10/23 17:28:42 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 62, buff: 04E0309D--from--30084
[2018/10/23 17:28:43 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 47, buff: 04D95FB5--from--30100
[2018/10/23 17:28:43 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 46, buff: 04DFF05D--from--30088
[2018/10/23 17:28:44 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 47, buff: 04D041BD--from--30089
[2018/10/23 17:28:45 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 63, buff: 05418F95--from--30094
[2018/10/23 17:28:45 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 62, buff: 0527CF55--from--30079
[2018/10/23 17:28:46 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 47, buff: 05534F2D--from--30104
[2018/10/23 17:28:46 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 62, buff: 051D2E35--from--30092
[2018/10/23 17:28:50 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 47, buff: 04FC1C1D--from--30099
[2018/10/23 17:28:50 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 47, buff: 04B6BE25--from--30083
[2018/10/23 18:01:21 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 47, buff: 04FC1C1D--from--30099
[2018/10/23 18:01:21 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 47, buff: 04B6BE25--from--30083
[2018/10/23 18:01:22 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 47, buff: 04D4EF95--from--30098
[2018/10/23 18:01:22 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 47, buff: 0550342D--from--30093
[2018/10/23 18:01:26 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 47, buff: 04BC527D--from--30087
[2018/10/23 18:01:27 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 62, buff: 04BCA845--from--30091
[2018/10/23 18:01:27 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 47, buff: 053D872D--from--30078
[2018/10/23 18:01:30 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 62, buff: 04BE7065--from--30082
[2018/10/23 18:01:30 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 63, buff: 05354F2D--from--30103
[2018/10/23 18:01:30 CST] [Exception] [INFO]  数据库: mid 22, subid 0, cost 47, buff: 0513D77D--from--30126
[2018/10/23 18:01:30 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 47, buff: 05494F2D--from--30102
[2018/10/23 18:01:33 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 47, buff: 04FE31DD--from--30096
[2018/10/23 18:01:33 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 63, buff: 052C8325--from--30077
[2018/10/23 18:01:36 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 62, buff: 04C22E95--from--30101
[2018/10/23 18:01:36 CST] [Exception] [INFO]  数据库: mid 22, subid 0, cost 47, buff: 052EAA7D--from--30125
[2018/10/23 18:01:36 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 62, buff: 04AB7065--from--30081
[2018/10/23 18:01:36 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 47, buff: 05287FE5--from--30090
[2018/10/23 18:01:36 CST] [Exception] [INFO]  数据库: mid 22, subid 0, cost 31, buff: 051F1AED--from--30131
[2018/10/23 18:01:40 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 47, buff: 04D667F5--from--30085
[2018/10/23 18:01:40 CST] [Exception] [INFO]  数据库: mid 22, subid 0, cost 31, buff: 05151AED--from--30133
[2018/10/23 18:01:43 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 62, buff: 04E0309D--from--30084
[2018/10/23 18:01:44 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 47, buff: 04D95FB5--from--30100
[2018/10/23 18:01:44 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 47, buff: 04DFF05D--from--30088
[2018/10/23 18:01:45 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 46, buff: 04D041BD--from--30089
[2018/10/23 18:01:45 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 47, buff: 05418F95--from--30094
[2018/10/23 18:01:45 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 47, buff: 0527CF55--from--30079
[2018/10/23 18:01:47 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 47, buff: 05534F2D--from--30104
[2018/10/23 18:01:47 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 47, buff: 051D2E35--from--30092
[2018/10/23 18:01:50 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 47, buff: 04FC1C1D--from--30099
[2018/10/23 18:01:51 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 47, buff: 04B6BE25--from--30083
[2018/10/23 18:01:51 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 47, buff: 04D4EF95--from--30098
[2018/10/23 18:01:52 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 46, buff: 0550342D--from--30093
[2018/10/23 18:01:55 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 47, buff: 04BC527D--from--30087
[2018/10/23 18:01:56 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 47, buff: 04BCA845--from--30091
[2018/10/23 18:01:57 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 47, buff: 053D872D--from--30078
[2018/10/23 18:11:56 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 46, buff: 04BC527D--from--30087
[2018/10/23 18:11:57 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 47, buff: 04BCA845--from--30091
[2018/10/23 18:11:58 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 47, buff: 053D872D--from--30078
[2018/10/23 18:12:00 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 46, buff: 05354F2D--from--30103
[2018/10/23 18:12:00 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 47, buff: 04BE7065--from--30082
[2018/10/23 18:12:01 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 47, buff: 05494F2D--from--30102
[2018/10/23 18:12:03 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 47, buff: 04FE31DD--from--30096
[2018/10/23 18:12:03 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 62, buff: 052C8325--from--30077
[2018/10/23 18:12:05 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 47, buff: 04AB7065--from--30081
[2018/10/23 18:12:05 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 47, buff: 04C22E95--from--30101
[2018/10/23 18:12:05 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 47, buff: 05287FE5--from--30090
[2018/10/23 18:12:10 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 47, buff: 04D667F5--from--30085
[2018/10/23 18:12:11 CST] [Exception] [INFO]  数据库: mid 22, subid 0, cost 31, buff: 055A1065--from--30153
[2018/10/23 18:12:13 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 47, buff: 04E0309D--from--30084
[2018/10/23 18:12:14 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 47, buff: 04DFF05D--from--30088
[2018/10/23 18:12:14 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 47, buff: 04D95FB5--from--30100
[2018/10/23 18:12:14 CST] [Exception] [INFO]  数据库: mid 22, subid 0, cost 47, buff: 052E60BD--from--30156
[2018/10/23 18:58:30 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 47, buff: 05354F2D--from--30103
[2018/10/23 18:58:31 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 46, buff: 04BE7065--from--30082
[2018/10/23 18:58:31 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 47, buff: 05494F2D--from--30102
[2018/10/23 18:58:34 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 63, buff: 04FE31DD--from--30096
[2018/10/23 18:58:34 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 47, buff: 052C8325--from--30077
[2018/10/23 18:58:36 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 47, buff: 04AB7065--from--30081
[2018/10/23 18:58:36 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 47, buff: 04C22E95--from--30101
[2018/10/23 18:58:37 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 63, buff: 05287FE5--from--30090
[2018/10/23 18:58:40 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 47, buff: 04D667F5--from--30085
[2018/10/23 18:58:43 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 47, buff: 04E0309D--from--30084
[2018/10/23 18:58:45 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 47, buff: 04D95FB5--from--30100
[2018/10/23 18:58:45 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 47, buff: 04DFF05D--from--30088
[2018/10/23 18:58:45 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 62, buff: 04D041BD--from--30089
[2018/10/23 18:58:45 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 47, buff: 05418F95--from--30094
[2018/10/23 18:58:47 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 47, buff: 0527CF55--from--30079
[2018/10/23 18:58:48 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 47, buff: 05534F2D--from--30104
[2018/10/23 18:58:48 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 47, buff: 051D2E35--from--30092
[2018/10/23 18:58:51 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 46, buff: 04FC1C1D--from--30099
[2018/10/23 18:58:51 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 62, buff: 04B6BE25--from--30083
[2018/10/23 18:58:52 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 47, buff: 0550342D--from--30093
[2018/10/23 18:58:53 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 47, buff: 04D4EF95--from--30098
[2018/10/23 18:58:57 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 47, buff: 04BC527D--from--30087
[2018/10/23 18:58:58 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 47, buff: 04BCA845--from--30091
[2018/10/23 18:58:58 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 47, buff: 053D872D--from--30078
[2018/10/23 18:59:00 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 63, buff: 05354F2D--from--30103
[2018/10/23 18:59:01 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 62, buff: 04BE7065--from--30082
[2018/10/23 18:59:01 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 47, buff: 05494F2D--from--30102
[2018/10/23 18:59:04 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 47, buff: 04FE31DD--from--30096
[2018/10/23 18:59:04 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 47, buff: 052C8325--from--30077
[2018/10/23 18:59:06 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 47, buff: 04AB7065--from--30081
[2018/10/23 18:59:06 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 47, buff: 04C22E95--from--30101
[2018/10/23 18:59:06 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 47, buff: 05287FE5--from--30090
[2018/10/24 10:02:48 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 47, buff: 05494F2D--from--30102
[2018/10/24 10:02:48 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 47, buff: 04C22E95--from--30101
[2018/10/24 10:02:50 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 47, buff: 05287FE5--from--30090
[2018/10/24 10:02:50 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 62, buff: 05418F95--from--30094
[2018/10/24 10:02:50 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 47, buff: 04D667F5--from--30085
[2018/10/24 10:02:56 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 47, buff: 04D041BD--from--30089
[2018/10/24 10:02:57 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 62, buff: 0527CF55--from--30079
[2018/10/24 10:02:57 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 47, buff: 04D95FB5--from--30100
[2018/10/24 10:02:59 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 46, buff: 04E0309D--from--30084
[2018/10/24 10:03:00 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 46, buff: 04DFF05D--from--30088
[2018/10/24 10:03:01 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 46, buff: 04FC1C1D--from--30099
[2018/10/24 10:03:01 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 47, buff: 05534F2D--from--30104
[2018/10/24 10:03:02 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 62, buff: 04B6BE25--from--30083
[2018/10/24 10:03:03 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 47, buff: 051D2E35--from--30092
[2018/10/24 10:03:06 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 47, buff: 0550342D--from--30093
[2018/10/24 10:03:07 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 47, buff: 04BC527D--from--30087
[2018/10/24 10:03:09 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 63, buff: 04D4EF95--from--30098
[2018/10/24 10:03:09 CST] [Exception] [INFO]  数据库: mid 22, subid 0, cost 47, buff: 0550342D--from--30093
[2018/10/24 10:03:09 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 47, buff: 04BCA845--from--30091
[2018/10/24 10:03:10 CST] [Exception] [INFO]  数据库: mid 22, subid 0, cost 47, buff: 05418F95--from--30094
[2018/10/24 10:03:12 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 62, buff: 05354F2D--from--30103
[2018/10/24 10:03:13 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 47, buff: 053D872D--from--30078
[2018/10/24 10:03:14 CST] [Exception] [INFO]  数据库: mid 22, subid 0, cost 31, buff: 04D95FB5--from--30100
[2018/10/24 10:03:15 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 47, buff: 04BE7065--from--30082
[2018/10/24 10:03:15 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 62, buff: 04FE31DD--from--30096
[2018/10/24 10:03:15 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 47, buff: 052C8325--from--30077
[2018/10/24 10:15:26 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 63, buff: 04D041BD--from--30089
[2018/10/24 10:15:26 CST] [Exception] [INFO]  数据库: mid 22, subid 0, cost 47, buff: 053CEF2D--from--30189
[2018/10/24 10:17:00 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 47, buff: 04E0309D--from--30084
[2018/10/24 10:17:01 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 46, buff: 04DFF05D--from--30088
[2018/10/24 10:17:01 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 47, buff: 04FC1C1D--from--30099
[2018/10/24 10:17:02 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 62, buff: 05534F2D--from--30104
[2018/10/24 10:17:03 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 47, buff: 04B6BE25--from--30083
[2018/10/24 10:17:04 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 47, buff: 051D2E35--from--30092
[2018/10/24 10:17:13 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 63, buff: 04BC527D--from--30087
[2018/10/24 10:17:13 CST] [Exception] [INFO]  处理来自服务端的数据: mid 4, subid 301, cost 1406, buff: 05534F2D--from--30104
[2018/10/24 10:17:13 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 62, buff: 05534F2D--from--30104
[2018/10/24 10:17:13 CST] [Exception] [INFO]  处理来自服务端的数据: mid 4, subid 301, cost 1500, buff: 04C22E95--from--30101
[2018/10/24 10:17:13 CST] [Exception] [INFO]  处理来自服务端的数据: mid 4, subid 301, cost 1531, buff: 04BE7065--from--30082
[2018/10/24 10:17:13 CST] [Exception] [INFO]  处理来自服务端的数据: mid 4, subid 301, cost 1594, buff: 0550342D--from--30093
[2018/10/24 10:17:13 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 47, buff: 04BE7065--from--30082
[2018/10/24 10:17:13 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 78, buff: 04C22E95--from--30101
[2018/10/24 10:17:13 CST] [Exception] [INFO]  数据库: mid 22, subid 0, cost 47, buff: 0550342D--from--30093
[2018/10/24 10:17:13 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 62, buff: 053D872D--from--30078
[2018/10/24 10:17:13 CST] [Exception] [INFO]  处理来自服务端的数据: mid 4, subid 301, cost 1718, buff: 055055B5--from--30141
[2018/10/24 10:17:13 CST] [Exception] [INFO]  处理来自服务端的数据: mid 4, subid 301, cost 1688, buff: 036D2CED--from--12076
[2018/10/24 10:17:13 CST] [Exception] [INFO]  处理来自服务端的数据: mid 4, subid 301, cost 1750, buff: 04EAFB95--from--30142
[2018/10/24 10:17:13 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 79, buff: 0550342D--from--30093
[2018/10/24 10:17:13 CST] [Exception] [INFO]  处理来自服务端的数据: mid 4, subid 301, cost 1765, buff: 03B4D01D--from--1464
[2018/10/24 10:17:13 CST] [Exception] [INFO]  处理来自服务端的数据: mid 4, subid 301, cost 1796, buff: 04FB689D--from--30151
[2018/10/24 10:17:13 CST] [Exception] [INFO]  处理来自服务端的数据: mid 4, subid 301, cost 1828, buff: 049CE80D--from--30147
[2018/10/24 10:17:13 CST] [Exception] [INFO]  处理来自服务端的数据: mid 4, subid 301, cost 1828, buff: 05437D65--from--30140
[2018/10/24 10:17:13 CST] [Exception] [INFO]  处理来自服务端的数据: mid 4, subid 301, cost 1875, buff: 050B109D--from--30150
[2018/10/24 10:17:13 CST] [Exception] [INFO]  处理来自服务端的数据: mid 4, subid 301, cost 1875, buff: 0513A0DD--from--30146
[2018/10/24 10:17:13 CST] [Exception] [INFO]  处理来自服务端的数据: mid 4, subid 301, cost 1890, buff: 0554BF95--from--30166
[2018/10/24 10:17:13 CST] [Exception] [INFO]  处理来自服务端的数据: mid 4, subid 301, cost 1843, buff: 0554001D--from--30167
[2018/10/24 10:17:13 CST] [Exception] [INFO]  处理来自服务端的数据: mid 4, subid 301, cost 1875, buff: 05448E75--from--30157
[2018/10/24 10:17:13 CST] [Exception] [INFO]  数据库: mid 22, subid 0, cost 47, buff: 05448E75--from--30157
[2018/10/24 10:17:13 CST] [Exception] [INFO]  处理来自服务端的数据: mid 4, subid 301, cost 1906, buff: 05157ED5--from--30163
[2018/10/24 10:17:13 CST] [Exception] [INFO]  处理来自服务端的数据: mid 4, subid 301, cost 1953, buff: 04D041BD--from--30089
[2018/10/24 10:17:13 CST] [Exception] [INFO]  处理来自服务端的数据: mid 4, subid 301, cost 1953, buff: 057360BD--from--30155
[2018/10/24 10:17:13 CST] [Exception] [INFO]  处理来自服务端的数据: mid 4, subid 301, cost 1953, buff: 05354F2D--from--30103
[2018/10/24 10:17:13 CST] [Exception] [INFO]  处理来自服务端的数据: mid 4, subid 301, cost 1969, buff: 052C8325--from--30077
[2018/10/24 10:17:13 CST] [Exception] [INFO]  处理来自服务端的数据: mid 4, subid 301, cost 1984, buff: 04D95FB5--from--30100
[2018/10/24 10:17:13 CST] [Exception] [INFO]  数据库: mid 22, subid 0, cost 31, buff: 04D95FB5--from--30100
[2018/10/24 10:17:13 CST] [Exception] [INFO]  数据库: mid 22, subid 0, cost 46, buff: 052C8325--from--30077
[2018/10/24 10:17:13 CST] [Exception] [INFO]  处理来自服务端的数据: mid 4, subid 301, cost 2031, buff: 04FC1C1D--from--30099
[2018/10/24 10:17:13 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 47, buff: 04D95FB5--from--30100
[2018/10/24 10:17:13 CST] [Exception] [INFO]  数据库: mid 22, subid 0, cost 31, buff: 05354F2D--from--30103
[2018/10/24 10:17:13 CST] [Exception] [INFO]  处理来自服务端的数据: mid 4, subid 301, cost 1953, buff: 04E0309D--from--30084
[2018/10/24 10:17:13 CST] [Exception] [INFO]  处理来自服务端的数据: mid 4, subid 301, cost 1953, buff: 051D2E35--from--30092
[2018/10/24 10:17:13 CST] [Exception] [INFO]  处理来自服务端的数据: mid 4, subid 301, cost 1969, buff: 04D4EF95--from--30098
[2018/10/24 10:17:13 CST] [Exception] [INFO]  处理来自服务端的数据: mid 4, subid 301, cost 2062, buff: 04DFF05D--from--30088
[2018/10/24 10:17:13 CST] [Exception] [INFO]  处理来自服务端的数据: mid 4, subid 301, cost 2078, buff: 05494F2D--from--30102
[2018/10/24 10:17:13 CST] [Exception] [INFO]  数据库: mid 22, subid 0, cost 32, buff: 04FC1C1D--from--30099
